miejscowosc_id;kod_stacji;kod_miedzynarodowy;nazwa_stacji;stary_kod_stacji;data_uruchomienia;data_zamkniecia;typ_stacji;typ_obszaru;rodzaj_stacji;adres;uwagi;wgs84_fi_n;wgs84_lambda_e
444;DsBialka;;Białka;;1990-01-03;2005-12-31;przemysłowa;podmiejski;kontenerowa stacjonarna;;;51.197783;16.11739
1103;DsBielGrot;;Bielawa - ul. Grota Roweckiego;;1994-01-02;2003-12-31;tło;miejski;w budynku;ul. Grota Roweckiego 6;;50.68251;16.617348
904;DsBogatFrancMOB;PL0602A;Bogatynia Mobil;DsBogatMob;2015-01-01;2015-12-31;tło;miejski;mobilna;ul. Francuska/Kręta;;50.940998;14.91679
904;DsBogChop;PL0315A;Bogatynia - Chopina;;1996-01-01;2013-12-31;przemysłowa;miejski;kontenerowa stacjonarna;ul. Chopina 35;;50.905856;14.967175
904;DsBogZatonieMob;PL0576A;Bogatynia - Mobil;;2012-01-01;2012-12-31;przemysłowa;miejski;mobilna;ul. Konrada, Zatonie;;50.943245;14.913327
832;DsBoleslaMOB;PL0658A;Bolesławiec;;2017-01-01;2018-01-02;tło;miejski;mobilna;ul. Juliusza Słowackiego 2;;51.263245;15.570354
839;DsBrzegGlog;;Brzeg Głogowski;;1980-01-01;2003-12-31;przemysłowa;pozamiejski;w budynku;;;51.691438;15.91784
740;DsChojnowKil;PL0185A;Chojnów,ul.Kilińskiego;;2004-01-06;2005-12-31;tło;miejski;kontenerowa stacjonarna;ul. Kilińskiego;;51.268889;15.940278
740;DsChojnowMalMOB;PL0836A;Chojnów, ul. S. Małachowskiego;;2024-01-12;;tło;miejski;mobilna;ul. S. Małachowskiego 7;;51.27428;15.929804
1380;DsCzar07;PL0186A;Czarna Góra;;1996-12-01;2008-09-30;tło;pozamiejski;kontenerowa stacjonarna;;"Wybrano miejscowość SIMC: Międzygórze (0851420). Podstawa korekty: Czarna Góra nie występuje jako aktualna miejscowość SIMC; przypisano do Międzygórza jako najbliższej/administracyjnie sensownej miejscowości referencyjnej dla lokalizacji Czarna Góra w rejonie Bystrzycy Kłodzkiej.. Dodatkowe uwagi: Wybrano Międzygórze (SIMC 0851420), mimo że nazwa GIOŚ brzmi Czarna Góra. Uzasadnienie: Czarna Góra wygląda na nazwę lokalizacji/góry/ośrodka, a nie aktualną miejscowość SIMC. GUGiK wskazuje rejon gminy Bystrzyca Kłodzka. Źródła opisują trasę i relację Międzygórze–Czarna Góra, a w SIMC aktualną miejscowością referencyjną w tym rejonie jest Międzygórze. To jest decyzja korekcyjna, a nie dokładne dopasowanie nazwy GIOŚ do nazwy SIMC..";50.255072;16.801641
