wojewodztwo_miejscowosc;miejscowosc_id;kod_stacji;kod_miedzynarodowy;nazwa_stacji;stary_kod_stacji;data_uruchomienia;data_zamkniecia;typ_stacji;typ_obszaru;rodzaj_stacji;adres;wgs84_fi_n;wgs84_lambda_e;wojewodztwo_nazwa;miejscowosc_nazwa
('DOLNOŚLĄSKIE', 'CZARNA GÓRA');;DsCzar07;PL0186A;Czarna Góra;;1996-12-01;2008-09-30;tło;pozamiejski;kontenerowa stacjonarna;;50.255072;16.801641;DOLNOŚLĄSKIE;CZARNA GÓRA
('DOLNOŚLĄSKIE', 'CZERNIAWA');;DsCzerStraza;PL0028A;Czerniawa;DsCzer02;1996-07-01;;tło;pozamiejski;kontenerowa stacjonarna;ul. Strażacka 7;50.912475;15.31219;DOLNOŚLĄSKIE;CZERNIAWA
('DOLNOŚLĄSKIE', 'KALINOWKA');;DsKalinowka;PL0261A;Kalinówka;;2003-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;51.5226;16.244147;DOLNOŚLĄSKIE;KALINOWKA
('DOLNOŚLĄSKIE', 'LEŚNA');;DsLesnaRyn;;Leśna - Rynek;;1994-01-02;2002-12-31;tło;miejski;w budynku;ul. Rynek 19;51.023029;15.263245;DOLNOŚLĄSKIE;LEŚNA
('DOLNOŚLĄSKIE', 'NOWA RUDA - SŁUPIEC');;DsNRudaSlupPM;;Nowa Ruda - Słupiec (PM10);;2005-03-01;2006-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Wiejska 15;50.550008;16.553645;DOLNOŚLĄSKIE;NOWA RUDA - SŁUPIEC
('DOLNOŚLĄSKIE', 'ŚNIEŻNE KOTŁY');;DsSnie04;PL0058A;Śnieżne Kotły;;1996-07-01;2010-12-31;tło;pozamiejski;kontenerowa stacjonarna;Śnieżne Kotły;50.778373;15.557425;DOLNOŚLĄSKIE;ŚNIEŻNE KOTŁY
('DOLNOŚLĄSKIE', 'SPALONA');;DsSpal06;;Spalona;;1996-11-15;2004-05-15;tło;pozamiejski;kontenerowa stacjonarna;;50.27657;16.538299;DOLNOŚLĄSKIE;SPALONA
('DOLNOŚLĄSKIE', 'TARNOWEK');;DsTarnowek;PL0268A;Tarnówek;;2003-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;51.513299;16.166761;DOLNOŚLĄSKIE;TARNOWEK
('DOLNOŚLĄSKIE', 'WITKA');;DsWitka;PL0319A;Witka;;1996-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;51.041136;14.980327;DOLNOŚLĄSKIE;WITKA
('KUJAWSKO-POMORSKIE', 'NOWA WIES WIELKA');;KpNwiesNaftobazy;PL0333A;Naftobazy;;1990-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;ul. Przemyslowa;52.970278;18.091389;KUJAWSKO-POMORSKIE;NOWA WIES WIELKA
('KUJAWSKO-POMORSKIE', 'PIECHCIN');;KpPiech;PL0334A;Lafarge-Piechcin;;1998-06-01;2011-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;52.816389;18.032778;KUJAWSKO-POMORSKIE;PIECHCIN
('KUJAWSKO-POMORSKIE', 'GÓRNE GRUCZNO');;KpSwiecGruczno;;Frantschach - Gruczno;;1997-01-01;2003-02-27;przemysłowa;pozamiejski;kontenerowa stacjonarna;;53.364722;18.316667;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO
('KUJAWSKO-POMORSKIE', 'GÓRNE GRUCZNO');;KpSwiecGruczno2;PL0069A;02 - Gruczno;;2005-02-01;2011-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;53.355556;18.318333;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO
('KUJAWSKO-POMORSKIE', 'ŚWIECIE');;KpSwiecJPawlMOB;PL0816A;Świecie, al. Jana Pawła II;;2022-12-28;;tło;miejski;mobilna;al. Jana Pawła II 8;53.40758;18.428751;KUJAWSKO-POMORSKIE;ŚWIECIE
('KUJAWSKO-POMORSKIE', 'ŚWIECIE');;KpSwiecKolejowa;;Frantschach - stacja nr 1;;1995-03-10;2003-03-10;przemysłowa;podmiejski;kontenerowa stacjonarna;ul. Kolejowa 20;53.398056;18.416389;KUJAWSKO-POMORSKIE;ŚWIECIE
('KUJAWSKO-POMORSKIE', 'ŚWIECIE PRZECHOWO');;KpSwiecPrzechowo;PL0070A;01 Przechowo;;2005-02-01;2014-01-01;przemysłowa;podmiejski;kontenerowa stacjonarna;;53.398056;18.416389;KUJAWSKO-POMORSKIE;ŚWIECIE PRZECHOWO
('KUJAWSKO-POMORSKIE', 'ŚWIECIE');;KpSwiecSadowa;PL0336A;"Świecie ""Sądowa""";;2003-03-16;2010-12-31;tło;miejski;w budynku;ul. Sądowa 5;53.407222;18.453889;KUJAWSKO-POMORSKIE;ŚWIECIE
('KUJAWSKO-POMORSKIE', 'WIKTOROWO');;KpWiktorowoG;PL0587A;Lafarge- Airpointer;KpAirpWiktorowo;2012-08-01;2015-01-01;przemysłowa;pozamiejski;kontenerowa stacjonarna;Wiktorowo 22;52.822942;17.859031;KUJAWSKO-POMORSKIE;WIKTOROWO
('KUJAWSKO-POMORSKIE', 'ZIELONKA');;KpZielBoryTu;PL0077A;Zielonka, Bory Tucholskie;KpZielBoryTuch;2004-05-27;;tło;pozamiejski;kontenerowa stacjonarna;Bory Tucholskie;53.662117;17.934017;KUJAWSKO-POMORSKIE;ZIELONKA
('ŁÓDZKIE', 'BRZEZINY');;LdBrzeziWSSEMReforma;;Brzeziny-Reformacka;;1990-10-16;2010-01-01;tło;miejski;w budynku;ul. Reformacka 3;-999.0;-999.0;ŁÓDZKIE;BRZEZINY
('MAŁOPOLSKIE', 'DOBCZYCE');;MpDobczSzkolMOB;PL0638A;Dobczyce, ul. Szkolna;;2016-01-01;2016-12-31;tło;miejski;mobilna;ul. Szkolna;49.881108;20.100819;MAŁOPOLSKIE;DOBCZYCE
('MAŁOPOLSKIE', 'KRYNICA');;MpKrynicWSSENowo1002;;Krynica Nowotarskiego RWM;;2005-01-01;2008-12-31;tło;miejski;w budynku;ul. Nowotarskiego RWM;-999.0;-999.0;MAŁOPOLSKIE;KRYNICA
('MAŁOPOLSKIE', 'MIECHÓW');;MpMiechoWIOSKono0802;PL0628A;Miechów, ul. Konopnickiej;;2014-01-01;2014-12-31;tło;miejski;mobilna;ul. Konopnickiej;50.360036;20.038672;MAŁOPOLSKIE;MIECHÓW
('MAŁOPOLSKIE', 'MIECHÓW');;MpMiechoWIOSKsSk0801;;Miechów Księdza Skorupki;;2002-01-01;2003-12-31;tło;miejski;w budynku;ul. Księdza Skorupki 5;50.354722;20.024722;MAŁOPOLSKIE;MIECHÓW
('MAŁOPOLSKIE', 'MYŚLENICE');;MpMyslenSoli;PL0806A;Myślenice;;2021-03-17;;tło;miejski;wolnostojący pobornik pyłu;Solidarności 6;49.831237;19.923591;MAŁOPOLSKIE;MYŚLENICE
('MAŁOPOLSKIE', 'MYŚLENICE');;MpMyslenWIOSKazi0901;;Myslenice Kazimierza Wielkiego;;2002-01-01;2002-12-31;tło;miejski;BRAK DANYCH;ul. Kazimierza Wielkiego 199;-999.0;-999.0;MAŁOPOLSKIE;MYŚLENICE
('MAŁOPOLSKIE', 'MYŚLENICE');;MpMyslenWIOSKosc0902;;Myślenice Kościuszki;;2002-01-01;2003-12-31;tło;miejski;w budynku;ul. Kościuszki 16;49.826667;19.936389;MAŁOPOLSKIE;MYŚLENICE
