kod_stacji;nazwa_stacji;wojewodztwo_zrodlo;miejscowosc_zrodlo;adres;wgs84_fi_n;wgs84_lambda_e;kod_simc;korekta_powod
DsBialka;Białka;DOLNOŚLĄSKIE;BIAŁKA;;51.197783;16.11739;0364630;manual: Białka k. Legnicy/Krotoszyc wg współrzędnych
DsBielGrot;Bielawa - ul. Grota Roweckiego;DOLNOŚLĄSKIE;BIELAWA;ul. Grota Roweckiego 6;50.68251;16.617348;0983818;same_gmina_unique
DsCzar07;Czarna Góra;DOLNOŚLĄSKIE;CZARNA GÓRA;;50.255072;16.801641;0855629;manual: Czarna Góra -> Sienna, gm. Stronie Śląskie
DsCzerStraza;Czerniawa;DOLNOŚLĄSKIE;CZERNIAWA;ul. Strażacka 7;50.912475;15.31219;0936463;manual: Czerniawa -> Czerniawa-Zdrój
DsJawDmow;Jawor - Dmowskiego;DOLNOŚLĄSKIE;JAWOR;ul. Dmowskiego 8;51.057121;16.179854;0954120;same_gmina_unique
DsJaworMOB;Jawor;DOLNOŚLĄSKIE;JAWOR;ul. Armii Krajowej 9;51.049212;16.202317;0954120;same_gmina_unique
DsKalinowka;Kalinówka;DOLNOŚLĄSKIE;KALINOWKA;;51.5226;16.244147;0367373;"manual: Kalinówka nie występuje w SIMC; przypisano do Rudna, gm. Rudna"
DsKamGoraMOB;Kamienna Góra;DOLNOŚLĄSKIE;KAMIENNA GÓRA;Wałbrzyska 2c;50.788079;16.035122;0936026;same_gmina_unique
DsKgMob;Kamienna Góra - Mobil Horiba;DOLNOŚLĄSKIE;KAMIENNA GÓRA;ul. Szpitalna;50.786873;16.029129;0936026;same_gmina_unique
DsKgSien;Kamienna Góra - Sienkiewicza;DOLNOŚLĄSKIE;KAMIENNA GÓRA;ul. Sienkiewicza 5;50.781207;16.029155;0936026;same_gmina_unique
DsLesnaRyn;Leśna - Rynek;DOLNOŚLĄSKIE;LEŚNA;ul. Rynek 19;51.023029;15.263245;0936121;same_gmina_unique
DsNRudaSlupPM;Nowa Ruda - Słupiec (PM10);DOLNOŚLĄSKIE;NOWA RUDA - SŁUPIEC;ul. Wiejska 15;50.550008;16.553645;0984278;exact_unique
DsRadomierz;Radomierzyce;DOLNOŚLĄSKIE;RADOMIERZYCE;;51.0583;14.973735;0193370;manual: Radomierzyce k. Zgorzelca wg współrzędnych
DsSlone;Słone;DOLNOŚLĄSKIE;SŁONE;;51.661053;16.022652;0368941;manual: Słone, gm. Żukowice wg współrzędnych
DsSnie04;Śnieżne Kotły;DOLNOŚLĄSKIE;ŚNIEŻNE KOTŁY;Śnieżne Kotły;50.778373;15.557425;0936285;manual: Śnieżne Kotły -> Piechowice
DsSpal06;Spalona;DOLNOŚLĄSKIE;SPALONA;;50.27657;16.538299;0851577;manual: Spalona, gm. Bystrzyca Kłodzka wg współrzędnych
DsTarnowek;Tarnówek;DOLNOŚLĄSKIE;TARNOWEK;;51.513299;16.166761;0366623;exact_unique
DsWitk09;Witków;DOLNOŚLĄSKIE;WITKÓW;;50.81652;16.122029;0851979;manual: Witków, gm. Czarny Bór wg współrzędnych
DsWitka;Witka;DOLNOŚLĄSKIE;WITKA;;51.041136;14.980327;0193393;manual: Witka -> Niedów/Zgorzelec wg współrzędnych
DsZameczno;Zameczno;DOLNOŚLĄSKIE;ZAMECZNO;;51.669507;15.932111;0368846;manual: Zameczno, gm. Żukowice wg współrzędnych
KpBydgBlota;Bydgoszcz Białe Błota;KUJAWSKO-POMORSKIE;BIAŁE BŁOTA;ul. Szubińska 8;53.100278;17.920278;0079496;same_gmina_unique
KpKruszynLotnisko;Lotnisko Kruszyn;KUJAWSKO-POMORSKIE;KRUSZYN;;52.586114;19.01;0871746;manual: Kruszyn lotnisko k. Włocławka
KpNwiesNaftobazy;Naftobazy;KUJAWSKO-POMORSKIE;NOWA WIES WIELKA;ul. Przemyslowa;52.970278;18.091389;0092775;exact_unique
KpPiech;Lafarge-Piechcin;KUJAWSKO-POMORSKIE;PIECHCIN;;52.816389;18.032778;0079409;manual: Piechcin, gm. Barcin - wieś
KpPrzysRCRRiOW;Przysiek - RCRRiOW;KUJAWSKO-POMORSKIE;PRZYSIEK;;53.029444;18.504444;0851152;manual: Przysiek k. Torunia/Zławieś Wielka wg współrzędnych
KpSwiecGruczno;Frantschach - Gruczno;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO;;53.364722;18.316667;0097784;manual: Górne Gruczno -> Gruczno, gm. Świecie
KpSwiecGruczno2;02 - Gruczno;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO;;53.355556;18.318333;0097784;manual: Górne Gruczno -> Gruczno, gm. Świecie
KpSwiecJPawlMOB;Świecie, al. Jana Pawła II;KUJAWSKO-POMORSKIE;ŚWIECIE;al. Jana Pawła II 8;53.40758;18.428751;0929664;same_gmina_unique
KpSwiecKolejowa;Frantschach - stacja nr 1;KUJAWSKO-POMORSKIE;ŚWIECIE;ul. Kolejowa 20;53.398056;18.416389;0929664;same_gmina_unique
KpSwiecPrzechowo;01 Przechowo;KUJAWSKO-POMORSKIE;ŚWIECIE PRZECHOWO;;53.398056;18.416389;0929687;manual: Świecie Przechowo -> Przechowo
KpSwiecSadowa;"Świecie ""Sądowa""";KUJAWSKO-POMORSKIE;ŚWIECIE;ul. Sądowa 5;53.407222;18.453889;0929664;same_gmina_unique
KpWiktorowoG;Lafarge- Airpointer;KUJAWSKO-POMORSKIE;WIKTOROWO;Wiktorowo 22;52.822942;17.859031;0085373;manual: Wiktorowo k. Gąsawy/Żnina wg współrzędnych
KpZielBoryTu;Zielonka, Bory Tucholskie;KUJAWSKO-POMORSKIE;ZIELONKA;Bory Tucholskie;53.662117;17.934017;0098677;manual: Zielonka, Bory Tucholskie -> Tuchola
LbKrasKoszar;Kraśnik, ul. Koszarowa;LUBELSKIE;KRAŚNIK;ul. Koszarowa 10A;50.928239;22.228308;0956112;unique_RM96
LbKrasnikSpoldziel;Kraśnik Ul. Spółdzielcza;LUBELSKIE;KRAŚNIK;ul. Spółdzielcza 3;50.927486;22.228567;0956112;unique_RM96
LdBrzeReform;Brzeziny, ul. Reformacka;ŁÓDZKIE;BRZEZINY;ul. Reformacka 1;51.797806;19.756094;0977025;same_gmina_unique
LdBrzeziWSSEMReforma;Brzeziny-Reformacka;ŁÓDZKIE;BRZEZINY;ul. Reformacka 3;-999.0;-999.0;0977025;same_gmina_unique
LdGajewUjWod;Gajew, Ujęcie Wody;ŁÓDZKIE;GAJEW;Ujęcie wody;52.143258;19.233217;0578615;manual: Gajew, gm. Witonia wg współrzędnych
LdLowiczSien;Łowicz, ul. Sienkiewicza;ŁÓDZKIE;ŁOWICZ;ul. Henryka Sienkiewicza 62;52.105847;19.939433;0977031;same_gmina_unique
LdLowiczWSSEMSwFlori;Łowicz-Św.Floriana3;ŁÓDZKIE;ŁOWICZ;ul. Św. Floriana 3;52.108056;19.936944;0977031;same_gmina_unique
LdSieradWIOSMKoscius;Sieradz-Kościuszki6;ŁÓDZKIE;SIERADZ;ul. Kościuszki 6;51.594444;18.736111;0976050;same_gmina_unique
LdSieradWSSEMArmiiKr;Sieradz-ArmiiKrajowej7;ŁÓDZKIE;SIERADZ;ul. Armii Krajowej 7;51.583889;18.710556;0976050;same_gmina_unique
LdSieradWSSEMPOW52;Sieradz-POW52;ŁÓDZKIE;SIERADZ;ul. POW 52;51.595833;18.720278;0976050;same_gmina_unique
LdSieraPolna;Sieradz, ul. Polna;ŁÓDZKIE;SIERADZ;ul. Polna 18/20;51.592058;18.734811;0976050;same_gmina_unique
LdSierGrunwa;Sieradz-Grunwaldzka 28;ŁÓDZKIE;SIERADZ;ul. Grunwaldzka 28;51.590125;18.717333;0976050;same_gmina_unique
MpBochKonfed;Bochnia, ul. Konfederatów Barskich;MAŁOPOLSKIE;BOCHNIA;ul. Konfederatów Barskich;49.969017;20.439511;0981682;same_gmina_unique
